Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate
Amstan Logistics,1,12.0,1,1,1,1,0.0
Amwins,1,30.0,1,1,1,1,0.0
Andover Management Group,7,15.332857142857142,4,1,3,2,0.0
Andromeda Wealth Management,1,17.0,1,1,1,1,0.0
Andromeda Wealth Pvt Ltd,1,17.0,1,1,1,1,0.0
Anheuser-Busch,2,22.5,1,1,2,1,0.0
Ann Taylor,1,9.5,1,1,1,1,0.0
Anthem,8,16.765,6,1,3,3,0.0
Anthem Insurance,2,16.0,2,1,1,1,0.5
"Anthem, Inc",32,16.621875,8,3,2,3,0.0
Anthony MuÃ±oz Foundation,5,12.704,4,1,2,3,0.0
Aon,3,24.0,3,1,2,1,0.0
Apex Logistics International,1,15.0,1,1,1,1,0.0
Apex Order Pickup Solutions,1,20.0,1,1,1,1,0.0
Apple,6,22.605,3,1,3,3,0.0
Apple Growth Partners,1,23.0,1,1,1,1,0.0
"Aprecia Pharmaceuticals, LLC",2,17.5,2,1,1,1,0.0
Aramark,4,13.4625,3,2,4,2,0.0
Aramark Dining Services,1,18.0,1,1,1,1,0.0
Arcadis,1,18.0,1,1,1,1,0.0
Archbishop Moeller High School,1,12.0,1,1,1,1,0.0
Archer Daniels Midland Company (ADM),2,18.0,2,1,1,1,0.0
Archive Data Solutions,1,15.0,1,1,1,1,0.0
"Area Energy & Electric, Inc",1,16.0,1,1,1,1,0.0
Arizona College of Nursing,1,17.0,1,1,1,1,0.0
Armor Metal Group Mason,1,17.0,1,1,1,1,0.0
"Arnzen, Storm & Turner, P.S.C",2,12.0,1,1,1,2,0.0
Array Creative,1,16.0,1,1,1,1,0.0
Arrive Log,1,17.0,1,1,1,1,0.0
Arrive Logistics,1,17.0,1,1,1,1,0.0
Arsmiles Family and Cosmetic Dentistry,1,16.0,1,1,1,1,0.0
ArtWorks Cincinnati,3,15.030000000000001,1,1,2,3,0.0
Artisan Investment Banking,1,17.0,1,1,1,1,0.0
ArtsWave,1,12.88,1,1,1,1,0.0
Ashland,1,18.0,1,1,1,1,0.0
Ashlee Kennedy State Farm Agency,6,16.5,2,1,3,2,0.0
Ashley Ward,1,18.0,1,1,1,1,0.0
Asian American Cultural Association of Cincinnati (AACAC),1,12.88,1,1,1,1,0.0
"Asian-American National Committee, Inc",1,12.88,1,1,1,1,0.0
Asianati,5,15.3,2,1,4,3,0.0
Asset Living,6,17.0,2,1,2,3,0.0
Asset Strategies Group,1,15.5,1,1,1,1,0.0
Assured Partners,2,16.5,2,1,2,1,0.0
AssuredPartners,3,16.666666666666668,3,1,3,2,0.0
AstraZeneca,2,20.5,1,2,1,1,0.0
Astrafine,1,31.25,1,1,1,1,0.0
"Atkins & Pearce, Inc",1,18.0,1,1,1,1,0.0
Atlas,1,18.0,1,1,1,1,0.0
Atlas Air,1,20.0,1,1,1,1,0.0
Atlas CPA Inc,1,23.0,1,1,1,1,0.0
Atmaram Maneklal (Exports) Pvt. Ltd,1,17.0,1,1,1,1,0.0
AtriCure,22,20.09090909090909,5,2,6,3,0.0
Auditor of State,1,18.0,1,1,1,1,0.0
Auto-Owners Insurance Company,2,16.5,2,1,2,2,0.0
Automated Machine Systems,1,17.0,1,1,1,1,0.0
"Automated Machine Systems, Inc",4,18.125,2,1,3,3,0.0
Automized Solutions,1,20.0,1,1,1,1,0.0
Avery Dennison,1,18.0,1,1,1,1,0.0
Axium Plastics,1,18.0,1,1,1,1,0.0
Axizoun,1,17.0,1,1,1,1,0.0
B&B Design,1,17.0,1,1,1,1,0.0
B.C. Ziegler,1,17.0,1,1,1,1,0.0
"B.P. Shelley & Associates; A Private Wealth Advisory Practice of Ameriprise Financial Services, Inc",2,15.0,1,1,1,1,0.0
BBB Center For Ethics,1,10.0,1,1,1,1,0.0
BDHP Architecture,1,15.0,1,1,1,1,0.0
BDO,7,25.142857142857142,3,2,5,2,0.0
BDO USA,1,20.0,1,1,1,1,0.0
BDO USA LLP,18,24.38888888888889,5,1,3,2,0.0
"BDO USA, P.C",2,27.0,2,1,2,1,0.0
BE NKY Growth Partnership,1,17.0,1,1,1,1,0.0
BFF Studio,1,10.0,1,1,1,1,0.0
BGR,1,17.0,1,1,1,1,0.0
"BGR, Inc",3,13.833333333333334,2,1,2,3,0.0
BHDP Architecture,6,17.0,2,1,3,3,0.0
BKD,1,24.0,1,1,1,1,0.0
BKD CPAs & Advisors,17,23.41176470588235,4,1,3,2,0.0
"BKD Certified Public Accountants & Advisors, LLP",2,23.5,1,1,2,1,0.0
BLOC Ministries,1,12.5,1,1,1,1,0.0
BM2 Freight Services,2,15.5,2,1,1,2,0.0
BMW,1,63.33,1,1,1,1,0.0
BMW Brilliance Automotive Ltd,1,16.0,1,1,1,1,0.0
BMW Group,1,17.0,1,1,1,1,0.0
BMW Group USA,1,18.0,1,1,1,1,0.0
BMW Manufacturing Co,4,18.0,2,1,2,3,0.0
BMW Manufacturing Co. LLC,1,16.5,1,1,1,1,0.0
"BMW Manufacturing Co., LLC",2,20.450000000000003,2,1,1,2,0.0
"BMW Manufacturing Co., LLC -36919",2,20.55,2,1,2,2,0.0
BMW Store,1,17.0,1,1,1,1,0.0
BOMAG Americas,1,18.0,1,1,1,1,0.0
BS LLC,3,15.166666666666666,2,2,2,2,0.0
Bachmanâ€™s HVAC,1,17.0,1,1,1,1,0.0
Back2Back Ministries,2,12.5,1,1,1,2,0.0
Backcountry,1,15.0,1,1,1,1,0.0
Bahl & Gay,1,17.0,1,1,1,1,0.0
Bahl & Gaynor,1,17.0,1,1,1,1,0.0
Bahl & Gaynor Investment Counsel,33,19.272727272727273,6,2,6,3,0.0
Bahl and Gaynor,2,18.5,1,1,1,1,0.0
Bain & Company,1,20.0,1,1,1,1,0.0
Bainbridge Police Department,1,17.0,1,1,1,1,0.0
Baird Private Wealth Management,1,17.0,1,1,1,1,0.0
Baker Concrete Construction,1,16.5,1,1,1,1,0.0
Baker Construction,1,16.0,1,1,1,1,0.0
Ballyhoo Marketing Advantage,1,20.0,1,1,1,1,0.0
BanaSun Smoothie Bar,1,17.0,1,1,1,1,0.0
Bank of America,6,33.945,4,1,3,1,0.0
BankFinancial,1,15.0,1,1,1,1,0.0
Barnes Aerospace,2,22.0,1,1,2,2,0.0
Barnes Dennig,37,22.89189189189189,9,1,7,3,0.0
Barnes aerospace,1,19.0,1,1,1,1,0.0
Bartlett Wealth Management,10,17.3,4,2,5,3,0.0
Batavia Electric Supply,1,13.5,1,1,1,1,0.0
"Batesville Tool & Die, Inc",1,18.0,1,1,1,1,0.0
Bath & Body Works,4,22.0,2,1,2,3,0.0
Bath and Body Works,3,20.433333333333334,3,1,2,2,0.0
Battelle,3,17.0,2,1,2,2,0.0
Batterii,9,16.88888888888889,4,1,2,3,0.0
Bayer Becker,9,16.72222222222222,3,2,3,3,0.0
Beacon Building Products,1,18.0,1,1,1,1,0.0
Bearcat Performance Lab,1,17.0,1,1,1,1,0.0
"Bechtel Plant Machinery, Inc",1,20.25,1,1,1,1,0.0
Beck America,1,8.5,1,1,1,1,0.0
Beckett,1,16.25,1,1,1,1,0.0
"Beckett Gas, Inc",1,16.25,1,1,1,1,0.0
Beckett Ridge Country Club,1,15.0,1,1,1,1,0.0
Beiersdorf,1,15.0,1,1,1,1,0.0
Belden,1,17.0,1,1,1,1,0.0
Belden Inc,1,24.0,1,1,1,1,0.0
Belk,1,18.0,1,1,1,1,0.0
Bellisari's,1,15.0,1,1,1,1,0.0
Bellwether Enterprise,2,13.5,2,1,2,2,0.0
Benchmark Digital Partners LLC,2,18.5,2,1,2,2,0.0
Bendix,3,18.333333333333332,2,1,2,2,0.0
Bendix Commercial Vehicle Systems LLC,33,17.631515151515153,10,2,7,3,0.030303030303030304
Beneath the Surface,1,12.0,1,1,1,1,0.0
"Benesch, Friedlander, Coplan & Aronoff LLP",1,15.0,1,1,1,1,0.0
Berkley Fire & Marine Underwriters (a Berkley Company),1,18.0,1,1,1,1,0.0
Berkshire Hathaway Home Services,1,17.0,1,1,1,1,0.0
Berkshire Hathaway HomeServices,1,17.0,1,1,1,1,0.0
Bernard Healthcare,2,11.0,1,1,2,2,0.0
Besa,1,17.0,1,1,1,1,0.0
Best & Donavon,1,67.6,1,1,1,1,0.0
Best Buy,1,12.5,1,1,1,1,0.0
Best Buy Corporate,1,17.3,1,1,1,1,0.0
Bethany House Services,2,13.75,2,1,2,1,0.0
Bethel Community Pet Hospital,1,15.0,1,1,1,1,0.0
"Bettcher Industries, Inc",1,15.0,1,1,1,1,0.0
Better Business Bureau,1,10.0,1,1,1,1,0.0
Beyond Wealth Advisors,2,15.0,2,1,1,1,0.0
BeyondTrust,1,18.0,1,1,1,1,0.0
Big Ass Fans,2,16.5,2,1,2,2,0.0
Big Idea Group,2,10.0,2,1,1,1,0.0
Big Loud Records,1,15.0,1,1,1,1,0.0
Big Orange Marketing,1,17.0,1,1,1,1,0.0
BigOrange Marketing,1,12.0,1,1,1,1,0.0
"BigOrange Marketing, an inbound and digital marketing agency",4,13.5,1,1,2,3,0.0
Bimbo Bakeries USA,2,18.0,2,1,2,1,0.0
Biogen,1,24.0,1,1,1,1,0.0
BizCom,1,23.0,1,1,1,1,0.0
Bizcom electric,1,17.0,1,1,1,1,0.0
Bliss in a Bottle,1,15.0,1,1,1,1,0.0
Blizzard Entertainment,1,25.0,1,1,1,1,0.0
Blubrry Podcasting,5,16.7,2,1,3,3,0.0
"Blue & Co., LLC",21,22.333333333333332,4,2,7,3,0.0
Blue Alliance IT,1,15.0,1,1,1,1,0.0
Blue Bridge People,1,15.4,1,1,1,1,0.0
Blue Collar Dollar Insitute,1,17.0,1,1,1,1,0.0
Blue Collar Dollar Institute,1,17.0,1,1,1,1,0.0
Blue and Co,1,17.0,1,1,1,1,0.0
Blue and Co LLC,1,17.0,1,1,1,1,0.0
Blue and Company,3,20.666666666666668,1,1,2,3,0.0
"BlueMark Capital, LLC",2,14.75,2,1,2,2,0.0
BlueStar,1,13.5,1,1,1,1,0.0
"Bodine Perry, LLC",1,17.0,1,1,1,1,0.0
"Bolon, Hart, Shives & Crisp, Inc",1,13.5,1,1,1,1,0.0
Bon Secours Mercy Health,4,15.0,4,2,2,1,0.0
Bonefish Systems,2,15.0,2,1,1,1,0.0
BookWerks,2,15.0,2,1,1,2,0.0
Bosch,16,17.1875,5,2,3,3,0.0
Bosch Automotive Florence,1,17.0,1,1,1,1,0.0
Bosch Automotive Steering,18,17.88888888888889,10,2,5,3,0.0
Bosch Steering Columns,2,17.0,1,1,1,2,0.0
Boston Beer Company,1,18.0,1,1,1,1,0.0
Boston Consulting Group,2,12.75,2,1,2,1,0.0
Boston Consulting Group (BCG),1,36.67,1,1,1,1,0.0
Bottom Line Systems,1,15.0,1,1,1,1,0.0
Bowmar nutrition,1,15.0,1,1,1,1,0.0
Brady Ware & Company,1,22.0,1,1,1,1,0.0
Brainwave,1,12.88,1,1,1,1,0.0
Brandware PR,1,12.0,1,1,1,1,0.0
Bread Financial,3,20.59,2,1,2,2,0.0
Breakthrough Cincinnati,1,32.5,1,1,1,1,0.0
Brennan Industries,1,18.0,1,1,1,1,0.0
Brian Garry for Cincinnati City Council,1,12.5,1,1,1,1,0.0
Bridal and Formal,1,17.0,1,1,1,1,0.0
Bridge Logistics Inc,17,14.058823529411764,9,2,5,3,0.0
Bridgetown Finer Meats,1,20.0,1,1,1,1,0.0
BrightSpring Health Services,1,16.0,1,1,1,1,0.0
BrightView Health,1,24.0,1,1,1,1,0.0
Brighton Tru Edge,5,16.6,3,1,2,3,0.0
Brighton Tru- Edge,1,14.0,1,1,1,1,0.0
Brighton Tru-Edge,5,16.2,3,1,3,3,0.0
Brighton Tru-edge,1,15.0,1,1,1,1,0.0
Brighton TruEdge,1,15.0,1,1,1,1,0.0
Brighton True-Edge,1,16.0,1,1,1,1,0.0
Brilyn Inc,1,17.0,1,1,1,1,0.0
"Brixey & Meyer, CPA",8,25.0,3,1,4,2,0.0
Brn Digital,1,16.0,1,1,1,1,0.0
Brown Forman,1,17.0,1,1,1,1,0.0
Brown Gibbons Lang & Company,1,10.42,1,1,1,1,0.0
Buckhorn Inc,1,17.0,1,1,1,1,0.0
Buckingham Companies,1,17.0,1,1,1,1,0.0
Buckingham Inc,1,15.0,1,1,1,1,0.0
Buddy Up for Life,1,17.0,1,1,1,1,0.0
Buffalo Wild Wings,1,18.25,1,1,1,1,0.0
Buffalo Wings & Rings,1,11.0,1,1,1,1,0.0
Builder Backed,2,19.0,1,1,2,2,0.0
Builders Design LLC,1,12.25,1,1,1,1,0.0
Bureau of Land Management,1,18.0,1,1,1,1,0.0
Burke & Schindler,1,17.0,1,1,1,1,0.0
Burke Inc,2,15.0,2,1,2,2,0.0
Burke and Schindler,1,21.0,1,1,1,1,0.0
Burke and Schindler LLP,1,17.0,1,1,1,1,0.0
Burlington Stores,1,18.0,1,1,1,1,0.0
"Busch Gardens Williamsburg and Water Country USA (Williamsburg, VA)",1,14.0,1,1,1,1,0.0
Bush Truck Leasing,1,17.0,1,1,1,1,0.0
Business owner,1,20.0,1,1,1,1,0.0
Butler County Visitors Bureau,2,12.0,1,1,2,2,0.0
Buzzworthy Branding,1,17.0,1,1,1,1,0.0
C.H. Robinson Worldwide,1,12.0,1,1,1,1,0.0
CA Carlin,1,17.3,1,1,1,1,0.0
CAI Insurance Agency,5,17.2,3,1,2,2,0.0
CAT Equipment Co,1,17.0,1,1,1,1,0.0
CATA Inc,1,17.0,1,1,1,1,0.0
CBIZ,2,14.0,1,1,1,1,0.0
CBRE,4,13.5,2,1,3,3,0.0
CBTS,2,16.5,2,1,2,1,0.0
CBX,1,15.0,1,1,1,1,0.0
"CFBank, N. A",1,17.5,1,1,1,1,0.0
CIMx Software,1,18.0,1,1,1,1,0.0
CINCINNATI REDS,26,11.156923076923077,10,2,7,3,0.0
CINTECH CONSTRUCTION,1,16.0,1,1,1,1,0.0
CLEAR Strategy,1,14.0,1,1,1,1,0.0
CME Group,1,16.0,1,1,1,1,0.0
CMT Digital Holdings LLC,1,125.0,1,1,1,1,0.0
CSL Plasma,2,16.0,1,1,1,2,0.0
"CTI Clinical Trial and Consulting Services, Inc",1,17.0,1,1,1,1,0.0
"CTL Engineering, Inc",1,16.5,1,1,1,1,0.0
CVS Health,1,16.0,1,1,1,1,0.0
Caesar Labs,1,26.0,1,1,1,1,0.0
Caesar Labs Inc,1,29.0,1,1,1,1,0.0
Caitlin Rowlette,1,15.0,1,1,1,1,0.0
Calhoun Construction,1,16.0,1,1,1,1,0.0
Caliber Smart,3,14.126666666666667,3,1,1,1,0.0
Callibrity,1,14.0,1,1,1,1,0.0
Cambridge Investment Research Inc,1,20.0,1,1,1,1,0.0
Cambridge investment research,1,17.0,1,1,1,1,0.0
Camp Carl,1,55.0,1,1,1,1,0.0
Camp Gallagher,1,51.75,1,1,1,1,0.0
Campbell Soup Company,1,20.0,1,1,1,1,0.0
Campbell's,1,20.0,1,1,1,1,0.0
"Campbells Soup Co (Pepperidge Farm, Inc.)",1,21.0,1,1,1,1,0.0
Camping and Education Foundation,1,12.5,1,1,1,1,0.0
Campus Abuzz,1,25.0,1,1,1,1,1.0
Campus Services,1,10.75,1,1,1,1,0.0
CancerFree KIDS,2,12.5,1,1,1,1,0.0
Canton Palace Theatre,2,17.0,1,1,1,2,0.0
Capital Markets Trading,1,17.0,1,1,1,1,0.0
Capital One,3,15.0,2,1,3,1,0.0
"Carbon Web Print, LLC",1,18.0,1,1,1,1,0.0
Cardinal Financial,4,11.9375,1,2,1,3,0.0
"Cardinal Financial Company, Limited Partnership",1,12.0,1,1,1,1,0.0
"Cardinal Financial, LLP",4,22.5875,3,1,2,2,0.0
Cardinal Health,5,16.8,5,1,5,2,0.0
"Cardinal Health, Inc",1,21.0,1,1,1,1,0.0
CareCentrix,1,18.0,1,1,1,1,0.0
CarePatrol of Cincinnati - SW Ohio,1,10.0,1,1,1,1,0.0
CareStar,4,15.875,3,1,3,2,0.0
Carly Eckert,1,18.0,1,1,1,1,0.0
Cassady Schiller CPAs & Advisors,7,23.571428571428573,1,1,3,2,0.0
Cassedy Schiller,1,24.0,1,1,1,1,0.0
Castellini Company,1,19.0,1,1,1,1,0.0
Castellini Management Company,1,14.0,1,1,1,1,0.0
Catch a Fire Pizza,1,18.0,1,1,1,1,0.0
Caterpillar Inc,1,22.3,1,1,1,1,0.0
Catholic Charities Southwestern Ohio,1,12.88,1,1,1,1,0.0
Cedar Fair,1,11.75,1,1,1,1,0.0
Cedar Fair Entertainment Company,3,15.833333333333334,2,1,1,2,0.0
Cedar Fair Entertainment Company (Internal Audit Internship position ONLY!),1,11.0,1,1,1,1,0.0
Cedar Fair Entertainment Company (Internal Audit Internships ONLY!),1,16.5,1,1,1,1,0.0
Cedar Fair Entertainment Company (Internal Audit internships ONLY!),1,12.5,1,1,1,1,0.0
Cedar Point,1,15.0,1,1,1,1,0.0
Celanese,1,21.25,1,1,1,1,0.0
Celanese Corporation,1,21.25,1,1,1,1,0.0
Cenovus Energy,1,20.0,1,1,1,1,0.0
Centier Bank,1,15.0,1,1,1,1,0.0
Century financial,1,17.0,1,1,1,1,0.0
Cerkl,1,10.0,1,1,1,1,0.0
Champ City Markit,1,16.0,1,1,1,1,0.0
Champion Pest and Termite Control,1,17.0,1,1,1,1,0.0
Champion Sports Athletics,2,9.75,1,1,2,2,0.0
Champion Windows & Home Exteriors,2,15.5,2,1,1,2,0.0
Champlin Architecture,1,19.0,1,1,1,1,0.0
Chapter 41 Real Estate OwnerLand Realty,1,22.0,1,1,1,1,0.0
Charity Mobile,2,15.0,2,1,1,2,0.0
Charles L Shor Foundation,5,16.0,4,1,3,3,0.0
Chase Properties,1,17.0,1,1,1,1,0.0
Chemical Bank,1,13.0,1,1,1,1,0.0
Cherry Bekaert,4,26.5,2,1,3,1,0.0
Chewy,2,19.0,2,1,2,1,0.0
Chicago Sport And Social Club,1,17.0,1,1,1,1,0.0
Chick-fil-A Colerain,1,14.5,1,1,1,1,0.0
Chick-fil-A Oakley Station,1,12.0,1,1,1,1,0.0
Chick-fil-a Newport,1,18.0,1,1,1,1,0.0
Chubb Insurance,2,17.5,1,1,1,2,0.0
Chuck E. Cheese's,1,18.25,1,1,1,1,0.0
Churchill Downs,2,18.0,1,1,1,2,0.0
Chuy's,1,17.0,1,1,1,1,0.0
Cigna,1,19.0,1,1,1,1,0.0
Cigna - Nashville,1,26.5,1,1,1,1,0.0
Cincinati Insurance,1,17.0,1,1,1,1,0.0
Cincinnati Arts and Technology Studios,1,25.0,1,1,1,1,0.0
Cincinnati Avionics,1,10.0,1,1,1,1,0.0
Cincinnati Bell,21,15.380952380952381,5,1,3,3,0.0
Cincinnati Bengals,1,10.0,1,1,1,1,0.0
Cincinnati Cares,10,12.437999999999999,5,1,3,3,0.0
Cincinnati Children's,2,19.0,2,2,2,2,0.0
Cincinnati Children's Hospital,1,15.5,1,1,1,1,0.0
Cincinnati Children's Hospital Medical Center,32,17.56,8,2,6,4,0.0
Cincinnati Childrens,2,15.75,1,1,2,2,0.0
Cincinnati Commercial Construction,1,16.0,1,1,1,1,0.0
Cincinnati Commercial Contracting,4,15.75,1,1,2,2,0.0
Cincinnati Country Day School,2,23.75,2,1,2,2,0.0
Cincinnati Cyclones,1,17.0,1,1,1,1,0.0
Cincinnati Financial,1,12.0,1,1,1,1,0.0
Cincinnati Flying Pig,1,17.0,1,1,1,1,0.0
Cincinnati Gearing Systems Inc,3,14.0,1,1,1,3,0.0
Cincinnati Hillel,2,9.22,1,1,2,2,0.0
Cincinnati Incorporated,5,19.2,4,1,4,3,0.0
Cincinnati Magazine,1,15.0,1,1,1,1,0.0
Cincinnati Metro,2,17.0,1,1,1,2,0.0
Cincinnati Metropolitan Housing Authority,1,13.0,1,1,1,1,0.0
Cincinnati Museum Center,1,12.88,1,1,1,1,0.0
Cincinnati Open,1,12.0,1,1,1,1,0.0
Cincinnati Opera,1,13.75,1,1,1,1,0.0
Cincinnati Police Department,2,17.0,1,1,1,2,0.0
Cincinnati Public Schools,3,12.0,2,1,2,2,0.0
Cincinnati Sports Club,18,12.527777777777779,6,2,7,3,0.0
Cincinnati Test Systems,1,18.0,1,1,1,1,0.0
