Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate,Cluster_Tier,Tier_Name
ABAQ AL EBDAA TRAD & CONT LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
ABC Fitness Solutions,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
ABS Technology Joint Stock Company,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
ACCO Brands,5,15.5,1,1,3,3,0.0,2,Core Relationship Employers
ADM,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
ADM Insights & Strategy,1,25.0,1,1,1,1,1.0,3,Premium Remote / Specialized Employers
"ADVICS Manufacturing Ohio, Inc",3,21.916666666666668,1,1,2,2,0.0,2,Core Relationship Employers
AEH Accounting,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
AFLAC,2,17.335,2,1,1,2,0.0,1,Low-Engagement Employers
AGAR,5,19.6,3,2,3,2,0.0,2,Core Relationship Employers
AKRU,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
AMEND Consulting,118,18.977966101694918,14,3,7,3,0.0,0,Strategic High-Volume Partners
AMH,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
APEX Skin,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
AR Marketing,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
ARCO/Murray Design Build,1,17.0,1,1,0,1,0.0,1,Low-Engagement Employers
ARGI Financial Group,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
ASG,1,8.33,1,1,1,1,0.0,1,Low-Engagement Employers
ASI Signage,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
ATLAS,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
ATLAS CPA's and Advisors,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
ATLAS CPAs & Advisors PLLC,3,17.666666666666668,2,1,2,2,0.0,2,Core Relationship Employers
"ATLAS Navigators, LLC",2,23.0,2,1,2,1,0.0,1,Low-Engagement Employers
ATN Event Staffing,1,15.4,1,1,1,1,0.0,1,Low-Engagement Employers
AUVECO,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
AbbVie,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Abbott,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
Abco Safety,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Abercrombie & Fitch,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
Abre,2,16.5,1,1,2,2,0.0,2,Core Relationship Employers
Accenture,10,28.4,7,2,4,1,0.0,0,Strategic High-Volume Partners
Ackermann Group,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Activities Beyond the Classroom,3,12.88,1,1,1,3,0.0,2,Core Relationship Employers
Adam Worrell State Farm,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Addepar,1,35.0,1,1,1,1,0.0,1,Low-Engagement Employers
Adept Marketing,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Adobe,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Adobe Systems,1,28.0,1,1,1,1,0.0,1,Low-Engagement Employers
Advantic Building Group LLC,2,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Advertising Vehicles,2,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Advisor Guide Marketing,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Aflac,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Aflac - LI/NY,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Aglaia,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Aglamesis Brothers,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
Ahalogy,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
AirWay Technologies Inc,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Airborne Maintenance & Engineering Services,2,16.0,1,1,1,2,0.0,1,Low-Engagement Employers
Al. Neyer,19,17.526315789473685,8,2,6,3,0.0,0,Strategic High-Volume Partners
Alaina R. Peters - University of Cincinnati (Learning Commons),1,9.3,1,1,1,1,0.0,1,Low-Engagement Employers
Alcor Supply & Fixture Company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Alder Holdings, LLC",1,6.67,1,1,1,1,0.0,1,Low-Engagement Employers
Aletheia Digital,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alex & CO CPA Firm,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alex & Co,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alex & Company,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alex & Company CPAs,1,18.5,1,1,1,1,0.0,1,Low-Engagement Employers
Alex and Company,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alkermes,3,18.0,2,1,2,2,0.0,2,Core Relationship Employers
Allegiant Air,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Allegion,5,18.2,4,1,3,2,0.0,2,Core Relationship Employers
Alliance Data,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Allied Enterprises,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Allied Health,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Allspring Global Investments,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Allstate,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alpha,3,12.0,1,1,2,2,0.0,2,Core Relationship Employers
Alpha 1 Media Group,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Alpine Software Group,1,6.67,1,1,1,1,0.0,1,Low-Engagement Employers
Alvarez and Marsal,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Alveo Health, LLC",1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Alveo HealthCare Technologies,1,14.5,1,1,1,1,0.0,1,Low-Engagement Employers
AmWINS Specialty Casualty Solutions,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Amanda's Exchange,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Amazon,17,18.46117647058824,9,2,4,2,0.0,0,Strategic High-Volume Partners
Amazon Fulfillment,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Amazon Web Services,2,18.0,1,1,1,2,0.0,1,Low-Engagement Employers
AmeriSave,1,15.49,1,1,1,1,0.0,1,Low-Engagement Employers
American Benefit Corporation,2,20.59,2,1,1,2,0.0,1,Low-Engagement Employers
American Cutting Edge,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
"American Financial Group, Inc",22,20.136363636363637,6,2,5,3,0.0,0,Strategic High-Volume Partners
American Homes 4 Rent,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Income Life,1,46.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Mobile Petroleum,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Modern Insurance Group,53,18.684150943396226,13,1,7,3,0.0,0,Strategic High-Volume Partners
American Money Management,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Money Management Corporation,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Productivity & Quality Center (APQC),2,20.0,1,1,2,1,0.0,1,Low-Engagement Employers
American Red Cross,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
"American Signature, Inc",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Spirit LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
American Trailer Rental Group,3,15.666666666666666,2,1,2,3,0.0,2,Core Relationship Employers
American Trim,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ameriprise Financial,7,14.214285714285714,4,2,5,3,0.0,0,Strategic High-Volume Partners
"Ameriprise Financial Services, Inc",2,16.0,1,1,2,2,0.0,2,Core Relationship Employers
Ameritas,2,16.0,2,1,1,2,0.0,1,Low-Engagement Employers
Ameritas Financial Center / Central Financial Services,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ameritas Life Insurance Corp,14,17.071428571428573,4,1,5,3,0.0,2,Core Relationship Employers
Amira Labs,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Amsdell Companies,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Amstan Logistics,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Amwins,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Andover Management Group,7,15.332857142857142,4,1,3,2,0.0,2,Core Relationship Employers
Andromeda Wealth Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Andromeda Wealth Pvt Ltd,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Anheuser-Busch,2,22.5,1,1,2,1,0.0,1,Low-Engagement Employers
Ann Taylor,1,9.5,1,1,1,1,0.0,1,Low-Engagement Employers
Anthem,8,16.765,6,1,3,3,0.0,2,Core Relationship Employers
Anthem Insurance,2,16.0,2,1,1,1,0.5,3,Premium Remote / Specialized Employers
"Anthem, Inc",32,16.621875,8,3,2,3,0.0,0,Strategic High-Volume Partners
Anthony MuÃ±oz Foundation,5,12.704,4,1,2,3,0.0,2,Core Relationship Employers
Aon,3,24.0,3,1,2,1,0.0,1,Low-Engagement Employers
Apex Logistics International,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Apex Order Pickup Solutions,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Apple,6,22.605,3,1,3,3,0.0,2,Core Relationship Employers
Apple Growth Partners,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Aprecia Pharmaceuticals, LLC",2,17.5,2,1,1,1,0.0,1,Low-Engagement Employers
Aramark,4,13.4625,3,2,4,2,0.0,2,Core Relationship Employers
Aramark Dining Services,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Arcadis,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Archbishop Moeller High School,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Archer Daniels Midland Company (ADM),2,18.0,2,1,1,1,0.0,1,Low-Engagement Employers
Archive Data Solutions,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Area Energy & Electric, Inc",1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Arizona College of Nursing,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Armor Metal Group Mason,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Arnzen, Storm & Turner, P.S.C",2,12.0,1,1,1,2,0.0,1,Low-Engagement Employers
Array Creative,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Arrive Log,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Arrive Logistics,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Arsmiles Family and Cosmetic Dentistry,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
ArtWorks Cincinnati,3,15.030000000000001,1,1,2,3,0.0,2,Core Relationship Employers
Artisan Investment Banking,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
ArtsWave,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
Ashland,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ashlee Kennedy State Farm Agency,6,16.5,2,1,3,2,0.0,2,Core Relationship Employers
Ashley Ward,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Asian American Cultural Association of Cincinnati (AACAC),1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
"Asian-American National Committee, Inc",1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
Asianati,5,15.3,2,1,4,3,0.0,2,Core Relationship Employers
Asset Living,6,17.0,2,1,2,3,0.0,2,Core Relationship Employers
Asset Strategies Group,1,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
Assured Partners,2,16.5,2,1,2,1,0.0,1,Low-Engagement Employers
AssuredPartners,3,16.666666666666668,3,1,3,2,0.0,2,Core Relationship Employers
AstraZeneca,2,20.5,1,2,1,1,0.0,1,Low-Engagement Employers
Astrafine,1,31.25,1,1,1,1,0.0,1,Low-Engagement Employers
"Atkins & Pearce, Inc",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Atlas,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Atlas Air,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Atlas CPA Inc,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
Atmaram Maneklal (Exports) Pvt. Ltd,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
AtriCure,22,20.09090909090909,5,2,6,3,0.0,0,Strategic High-Volume Partners
Auditor of State,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Auto-Owners Insurance Company,2,16.5,2,1,2,2,0.0,2,Core Relationship Employers
Automated Machine Systems,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Automated Machine Systems, Inc",4,18.125,2,1,3,3,0.0,2,Core Relationship Employers
Automized Solutions,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Avery Dennison,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Axium Plastics,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Axizoun,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
B&B Design,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
B.C. Ziegler,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"B.P. Shelley & Associates; A Private Wealth Advisory Practice of Ameriprise Financial Services, Inc",2,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
BBB Center For Ethics,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
BDHP Architecture,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
BDO,7,25.142857142857142,3,2,5,2,0.0,2,Core Relationship Employers
BDO USA,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
BDO USA LLP,18,24.38888888888889,5,1,3,2,0.0,2,Core Relationship Employers
"BDO USA, P.C",2,27.0,2,1,2,1,0.0,1,Low-Engagement Employers
BE NKY Growth Partnership,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
BFF Studio,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
BGR,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"BGR, Inc",3,13.833333333333334,2,1,2,3,0.0,2,Core Relationship Employers
BHDP Architecture,6,17.0,2,1,3,3,0.0,2,Core Relationship Employers
BKD,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
BKD CPAs & Advisors,17,23.41176470588235,4,1,3,2,0.0,2,Core Relationship Employers
"BKD Certified Public Accountants & Advisors, LLP",2,23.5,1,1,2,1,0.0,1,Low-Engagement Employers
BLOC Ministries,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
BM2 Freight Services,2,15.5,2,1,1,2,0.0,1,Low-Engagement Employers
BMW,1,63.33,1,1,1,1,0.0,1,Low-Engagement Employers
BMW Brilliance Automotive Ltd,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
BMW Group,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
BMW Group USA,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
BMW Manufacturing Co,4,18.0,2,1,2,3,0.0,2,Core Relationship Employers
BMW Manufacturing Co. LLC,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
"BMW Manufacturing Co., LLC",2,20.450000000000003,2,1,1,2,0.0,1,Low-Engagement Employers
"BMW Manufacturing Co., LLC -36919",2,20.55,2,1,2,2,0.0,2,Core Relationship Employers
BMW Store,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
BOMAG Americas,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
BS LLC,3,15.166666666666666,2,2,2,2,0.0,2,Core Relationship Employers
Bachmanâ€™s HVAC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Back2Back Ministries,2,12.5,1,1,1,2,0.0,1,Low-Engagement Employers
Backcountry,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bahl & Gay,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bahl & Gaynor,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bahl & Gaynor Investment Counsel,33,19.272727272727273,6,2,6,3,0.0,0,Strategic High-Volume Partners
Bahl and Gaynor,2,18.5,1,1,1,1,0.0,1,Low-Engagement Employers
Bain & Company,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bainbridge Police Department,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Baird Private Wealth Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Baker Concrete Construction,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
Baker Construction,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Ballyhoo Marketing Advantage,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
BanaSun Smoothie Bar,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bank of America,6,33.945,4,1,3,1,0.0,2,Core Relationship Employers
BankFinancial,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Barnes Aerospace,2,22.0,1,1,2,2,0.0,2,Core Relationship Employers
Barnes Dennig,37,22.89189189189189,9,1,7,3,0.0,0,Strategic High-Volume Partners
Barnes aerospace,1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bartlett Wealth Management,10,17.3,4,2,5,3,0.0,0,Strategic High-Volume Partners
Batavia Electric Supply,1,13.5,1,1,1,1,0.0,1,Low-Engagement Employers
"Batesville Tool & Die, Inc",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bath & Body Works,4,22.0,2,1,2,3,0.0,2,Core Relationship Employers
Bath and Body Works,3,20.433333333333334,3,1,2,2,0.0,2,Core Relationship Employers
Battelle,3,17.0,2,1,2,2,0.0,2,Core Relationship Employers
Batterii,9,16.88888888888889,4,1,2,3,0.0,2,Core Relationship Employers
Bayer Becker,9,16.72222222222222,3,2,3,3,0.0,2,Core Relationship Employers
Beacon Building Products,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bearcat Performance Lab,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Bechtel Plant Machinery, Inc",1,20.25,1,1,1,1,0.0,1,Low-Engagement Employers
Beck America,1,8.5,1,1,1,1,0.0,1,Low-Engagement Employers
Beckett,1,16.25,1,1,1,1,0.0,1,Low-Engagement Employers
"Beckett Gas, Inc",1,16.25,1,1,1,1,0.0,1,Low-Engagement Employers
Beckett Ridge Country Club,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Beiersdorf,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Belden,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Belden Inc,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
Belk,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bellisari's,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bellwether Enterprise,2,13.5,2,1,2,2,0.0,2,Core Relationship Employers
Benchmark Digital Partners LLC,2,18.5,2,1,2,2,0.0,2,Core Relationship Employers
Bendix,3,18.333333333333332,2,1,2,2,0.0,2,Core Relationship Employers
Bendix Commercial Vehicle Systems LLC,33,17.631515151515153,10,2,7,3,0.030303030303030304,0,Strategic High-Volume Partners
Beneath the Surface,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Benesch, Friedlander, Coplan & Aronoff LLP",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Berkley Fire & Marine Underwriters (a Berkley Company),1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Berkshire Hathaway Home Services,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Berkshire Hathaway HomeServices,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bernard Healthcare,2,11.0,1,1,2,2,0.0,2,Core Relationship Employers
Besa,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Best & Donavon,1,67.6,1,1,1,1,0.0,1,Low-Engagement Employers
Best Buy,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Best Buy Corporate,1,17.3,1,1,1,1,0.0,1,Low-Engagement Employers
Bethany House Services,2,13.75,2,1,2,1,0.0,1,Low-Engagement Employers
Bethel Community Pet Hospital,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Bettcher Industries, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Better Business Bureau,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Beyond Wealth Advisors,2,15.0,2,1,1,1,0.0,1,Low-Engagement Employers
BeyondTrust,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Big Ass Fans,2,16.5,2,1,2,2,0.0,2,Core Relationship Employers
Big Idea Group,2,10.0,2,1,1,1,0.0,1,Low-Engagement Employers
Big Loud Records,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Big Orange Marketing,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
BigOrange Marketing,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
"BigOrange Marketing, an inbound and digital marketing agency",4,13.5,1,1,2,3,0.0,2,Core Relationship Employers
Bimbo Bakeries USA,2,18.0,2,1,2,1,0.0,1,Low-Engagement Employers
Biogen,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
BizCom,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bizcom electric,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bliss in a Bottle,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blizzard Entertainment,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blubrry Podcasting,5,16.7,2,1,3,3,0.0,2,Core Relationship Employers
"Blue & Co., LLC",21,22.333333333333332,4,2,7,3,0.0,0,Strategic High-Volume Partners
Blue Alliance IT,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blue Bridge People,1,15.4,1,1,1,1,0.0,1,Low-Engagement Employers
Blue Collar Dollar Insitute,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blue Collar Dollar Institute,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blue and Co,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blue and Co LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Blue and Company,3,20.666666666666668,1,1,2,3,0.0,2,Core Relationship Employers
"BlueMark Capital, LLC",2,14.75,2,1,2,2,0.0,2,Core Relationship Employers
BlueStar,1,13.5,1,1,1,1,0.0,1,Low-Engagement Employers
"Bodine Perry, LLC",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Bolon, Hart, Shives & Crisp, Inc",1,13.5,1,1,1,1,0.0,1,Low-Engagement Employers
Bon Secours Mercy Health,4,15.0,4,2,2,1,0.0,2,Core Relationship Employers
Bonefish Systems,2,15.0,2,1,1,1,0.0,1,Low-Engagement Employers
BookWerks,2,15.0,2,1,1,2,0.0,1,Low-Engagement Employers
Bosch,16,17.1875,5,2,3,3,0.0,0,Strategic High-Volume Partners
Bosch Automotive Florence,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bosch Automotive Steering,18,17.88888888888889,10,2,5,3,0.0,0,Strategic High-Volume Partners
Bosch Steering Columns,2,17.0,1,1,1,2,0.0,1,Low-Engagement Employers
Boston Beer Company,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Boston Consulting Group,2,12.75,2,1,2,1,0.0,1,Low-Engagement Employers
Boston Consulting Group (BCG),1,36.67,1,1,1,1,0.0,1,Low-Engagement Employers
Bottom Line Systems,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bowmar nutrition,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Brady Ware & Company,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Brainwave,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
Brandware PR,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bread Financial,3,20.59,2,1,2,2,0.0,2,Core Relationship Employers
Breakthrough Cincinnati,1,32.5,1,1,1,1,0.0,1,Low-Engagement Employers
Brennan Industries,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Brian Garry for Cincinnati City Council,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Bridal and Formal,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Bridge Logistics Inc,17,14.058823529411764,9,2,5,3,0.0,0,Strategic High-Volume Partners
Bridgetown Finer Meats,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
BrightSpring Health Services,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
BrightView Health,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
Brighton Tru Edge,5,16.6,3,1,2,3,0.0,2,Core Relationship Employers
